Variable Name,Data Type,Non-Null Count,Unique Values,Sample Value
Country Code,object,265,265,ABW
Region,object,217,7,Latin America & Caribbean
IncomeGroup,object,216,4,High income
SpecialNotes,object,127,113,"26 countries, stretching from the Red Sea in the North to the Cape of Good Hope in the South (https://www.worldbank.org/en/region/afr/eastern-and-southern-africa)"
TableName,object,265,265,Aruba
Unnamed: 5,float64,0,0,N/A
